ID PCA,Grupo,Subgrupo,Classe,ID,Descrição,Unidade,Quantidade,Valor Unitário,Valor Total Estimado,Demandante,SIGLA,Quantidade (num),Valor Unitário (num),Valor Total Estimado (num)
6479,GÁS ENGARRAFADO +,GÁS LIQUEFEITO DE PETRÓLEO,GÁS LIQUEFEITO DE PETRÓLEO-GLP,5237,"GÁS LIQUEFEITO DE PETRÓLEO-GLP , COMPOSIÇÃO: PROPANO E BUTANO, CARACTERÍSTICA(S) ADICIONAL(IS): RETORNÁVEL, NORMA TÉCNICA ABNT E ANP, UNIDADE DE FORNECIMENTO: BOTIJA COM 13KG.(ID CADASTRADO NO CONTRATO Nº.029/2024)",BOTIJÃO,120," R$ 122,75 "," R$ 14.730,00 ",CONTRATOS VIGENTES - SEMSA,CONTRATOS,120.0,122.75,14730.0
7585,MATERIAL EDUCATIVO E ESPORTIVO,MATERIAL E UTENSÍLIOS PARA ATIVIDADES ESPORTIVAS,CORDA PARA PULAR,5628,"CORDA PARA PULAR , MATERIAL: SISAL, COMPRIMENTO: 6 M, CARACTERÍSTICAS ADICIONAIS: EXTREMIDADES COM PUNHO DE MADEIRA",UNIDADE,20," R$ 20,37 "," R$ 407,40 ",DIRETORIA DE LOGÍSTICA,DLOG,20.0,20.37,407.4
7585,MATERIAL EDUCATIVO E ESPORTIVO,MATERIAL E UTENSÍLIOS PARA ATIVIDADES ESPORTIVAS,CORDA PARA PULAR,5628,"CORDA PARA PULAR , MATERIAL: SISAL, COMPRIMENTO: 6 M, CARACTERÍSTICAS ADICIONAIS: EXTREMIDADES COM PUNHO DE MADEIRA",UNIDADE,20," R$ 20,37 "," R$ 407,40 ",DIRETORIA DE ATENÇÃO ESPECIALIZADA E APOIO DIAGNÓSTICO,DAEAD,20.0,20.37,407.4
7578,MATERIAL EDUCATIVO E ESPORTIVO,MATERIAL E UTENSÍLIOS PARA ATIVIDADES ESPORTIVAS,APITO,5629,"APITO , MATERIAL: METAL, TIPO: OFICIAL, APRESENTAÇÃO: COM CORDÃO DE NYLON",UNIDADE,16," R$ 8,89 "," R$ 142,24 ",DIRETORIA DE LOGÍSTICA,DLOG,16.0,8.89,142.24
7578,MATERIAL EDUCATIVO E ESPORTIVO,MATERIAL E UTENSÍLIOS PARA ATIVIDADES ESPORTIVAS,APITO,5629,"APITO , MATERIAL: METAL, TIPO: OFICIAL, APRESENTAÇÃO: COM CORDÃO DE NYLON",UNIDADE,16," R$ 8,89 "," R$ 142,24 ",DIRETORIA DE ATENÇÃO ESPECIALIZADA E APOIO DIAGNÓSTICO,DAEAD,16.0,8.89,142.24
9009,MATERIAL PARA MANUTENÇÃO DE BENS IMÓVEIS,MATERIAIS PARA INSTALAÇÃO HIDRÁULICA,TORNEIRA PIA,6725,"TORNEIRA PIA , MATERIAL: METAL CROMADO, BITOLA: 1/2POL, CARACTERÍSTICAS ADICIONAIS: DE PAREDE, GIRATÓRIA (PESCOÇO DE CISNE).",UNIDADE,200," R$ 102,00 "," R$ 20.400,00 ",DIRETORIA DE ADMINISTRAÇÃO E INFRAESTRUTURA,DAI,200.0,102.0,20400.0
7727,MATERIAL FARMACOLÓGICO +,MEDICAMENTOS,DEXAMETASONA,8492,"DEXAMETASONA , CONCENTRAÇÃO: 4MG, FORMA FARMACÊUTICA: COMPRIMIDO, UNIDADE DE FORNECIMENTO: COMPRIMIDO.",COMPRIMIDO,120000," R$ 0,23 "," R$ 27.600,00 ",DIRETORIA DE LOGÍSTICA,DLOG,120000.0,0.23,27600.0
7687,MATERIAL FARMACOLÓGICO +,MEDICAMENTOS,ALOPURINOL,8528,"ALOPURINOL , CONCENTRAÇÃO: 300MG, FORMA FARMACÊUTICA: COMPRIMIDO, UNIDADE DE FORNECIMENTO: COMPRIMIDO.",COMPRIMIDO,75000," R$ 0,36 "," R$ 27.000,00 ",DIRETORIA DE LOGÍSTICA,DLOG,75000.0,0.36,27000.0
7737,MATERIAL FARMACOLÓGICO +,MEDICAMENTOS,ESPIRONOLACTONA,11302,"ESPIRONOLACTONA , CONCENTRAÇÃO: 100MG, FORMA FARMACÊUTICA: COMPRIMIDO, UNIDADE DE FORNECIMENTO: COMPRIMIDO.",COMPRIMIDO,90000," R$ 0,64 "," R$ 57.600,00 ",DIRETORIA DE LOGÍSTICA,DLOG,90000.0,0.64,57600.0
7712,MATERIAL FARMACOLÓGICO +,MEDICAMENTOS,CARVEDILOL,11521,"CARVEDILOL , CONCENTRAÇÃO: 6,25MG, FORMA FARMACÊUTICA: COMPRIMIDO, UNIDADE DE FORNECIMENTO: COMPRIMIDO.",COMPRIMIDO,600000," R$ 0,09 "," R$ 54.000,00 ",DIRETORIA DE LOGÍSTICA,DLOG,600000.0,0.09,54000.0
7750,MATERIAL FARMACOLÓGICO +,MEDICAMENTOS,GLICLAZIDA,11626,"GLICLAZIDA , CONCENTRAÇÃO: 30MG, FORMA FARMACÊUTICA: COMPRIMIDO DE LIBERAÇÃO PROLONGADA, UNIDADE DE FORNECIMENTO: COMPRIMIDO DE LIBERAÇÃO PROLONGADA",COMPRIMIDO,4500000," R$ 0,13 "," R$ 585.000,00 ",DIRETORIA DE LOGÍSTICA,DLOG,4500000.0,0.13,585000.0
7360,MATERIAL DE EXPEDIENTE E ESCOLAR,ARTIGOS PARA ESCRITÓRIO,LÁPIS PRETO,11731,"LÁPIS PRETO , MATERIAL CORPO: MADEIRA, GRAFITE: HB, MODELO: Nº 2",UNIDADE,20000," R$ 0,22 "," R$ 4.400,00 ",DIRETORIA DE LOGÍSTICA,DLOG,20000.0,0.22,4400.0
6300,"APARELHOS, EQUIPAMENTOS, UTENSÍLIOS MÉDICO-ODONTOLÓGICOS, LABORATORIAL E HOSPITALAR",APARELHOS E UTENSÍLIOS HOSPITALARES,MEDIDOR DE PH DE BANCADA MICROPROCESSADO,12225,"MEDIDOR DE PH DE BANCADA MICROPROCESSADO , MATERIAL: GABINETE EM MATERIAL PLÁSTICO RESISTENTE, FUNÇÕES: FAIXA DE MEDIÇÃO DE 0,00 A 14,00 PH E MV ABSOLUTOS ENTRE -400 E +400 MV; REPRODUTIBILIDADE DE + OU - 0,01 PH OU + OU - 1 MV; LEGIBILIDADE DE 0,01 PH OU 1 MV; INDICAÇÃO E COMPENSAÇÃO AUTOMÁTICA DE TEMPERATURA ENTRE 0 A 100°C COM PRECISÃO DE + OU - 0,5°C; CALIBRAÇÃO COM 2 BUFFERS E RECONHECIMENTO AUTOMÁTICO DE 5 BUFFERS, COM OS SEGUINTES VALORES DE PH; 4,01 - 6,86 - 7,00 - 9,18 E 10,01; DISPLAY DE CRISTAL LÍQUIDO ALFANUMÉRICO; MOSTRAR NO DISPLAY TODAS AS SEQÜÊNCIAS EM PORTUGUÊS; SINAL AUDÍVEL PARA CADA FUNÇÃO, ALIMENTAÇÃO: COMPATÍVEL COM REDE 127/220V, 60HZ, CARACTERÍSTICAS ADICIONAIS: TECLADO TIPO MEMBRANA; ACOMPANHAR: SOLUÇÕES PADRÃO DE 6,86 E 4,01; SOLUÇÃO DE REPOUSO DO ELETRODO; SUPORTE DO ELETRODO; GARANTIA: 1 ANO.",UNIDADE,3," R$ 1.253,92 "," R$ 3.761,76 ",DIRETORIA DE ATENÇÃO ESPECIALIZADA E APOIO DIAGNÓSTICO,DAEAD,3.0,1253.92,3761.76
7500,MATERIAL DE PROCESSAMENTO DE DADOS,PEÇAS E ACESSÓRIOS PARA COMPUTADORES E PERIFÉRICOS,MOUSE ÓPTICO,13102,"MOUSE ÓPTICO, RESOLUÇÃO: 800DPI, COR: A SER DEFINIDA, CARACTERÍSTICA(S) ADICIONAL(IS): CONEXÃO USB, COM FIO, 02 BOTÕES DE ACIONAMENTO E 01 BOTÃO DE ROLAGEM.",UNIDADE,4000," R$ 10,68 "," R$ 42.720,00 ",DIRETORIA DE LOGÍSTICA,DLOG,4000.0,10.68,42720.0
7484,MATERIAL DE LIMPEZA E PRODUTO DE HIGIENIZAÇÃO,ARTIGOS E UTENSÍLIOS PARA LIMPEZA,VASSOURA,13742,"VASSOURA , APLICAÇÃO: LIMPEZA EM GERAL, MATERIAL(IS) CERDAS: PIAÇAVA, MATERIAL(IS) CEPA: MADEIRA, DIMENSÃO(ÕES) CEPA: 40CM DE COMPRIMENTO, VARIAÇÃO DE ±10%, MATERIAL(IS) CABO: MADEIRA, DIMENSÃO(ÕES) CABO: 120CM DE COMPRIMENTO, VARIAÇÃO DE ±10%, CARACTERÍSTICA(S) ADICIONAL(IS): CABO RETO E LIXADO.",UNIDADE,1500," R$ 9,33 "," R$ 13.995,00 ",DIRETORIA DE LOGÍSTICA,DLOG,1500.0,9.33,13995.0
6580,GÊNEROS DE ALIMENTAÇÃO +,"PRODUTOS DE PADARIA, CONFEITARIA E BOMBONIERE",AÇÚCAR,14260,"AÇÚCAR , TIPO: CRISTAL, CARACTERÍSTICA(S) ADICIONAL(IS): PRODUTO PRÓPRIO PARA CONSUMO HUMANO E EM CONFORMIDADE COM A LEGISLAÇÃO EM VIGOR, UNIDADE DE FORNECIMENTO: EMBALAGEM COM 1KG.",EMBALAGEM,6000," R$ 4,22 "," R$ 25.320,00 ",DIRETORIA DE LOGÍSTICA,DLOG,6000.0,4.22,25320.0
6493,GÊNEROS DE ALIMENTAÇÃO +,"PRODUTOS DE PADARIA, CONFEITARIA E BOMBONIERE",AÇÚCAR,14260,"AÇÚCAR , TIPO: CRISTAL, CARACTERÍSTICA(S) ADICIONAL(IS): PRODUTO PRÓPRIO PARA CONSUMO HUMANO E EM CONFORMIDADE COM A LEGISLAÇÃO EM VIGOR, UNIDADE DE FORNECIMENTO: EMBALAGEM COM 1KG.(ID CADASTRADO NO CONTRATO Nº.013/2022)",EMBALAGEM,720," R$ 3,30 "," R$ 2.376,00 ",CONTRATOS VIGENTES - SEMSA,CONTRATOS,720.0,3.3,2376.0
7370,MATERIAL DE EXPEDIENTE E ESCOLAR,PAPÉIS,PAPEL PARA REPROGRAFIA,14367,"PAPEL PARA REPROGRAFIA , MATERIAL: CELULOSE VEGETAL, APLICAÇÃO: IMPRESSÃO A LASER, A JATO DE TINTA, COPIADORAS, FAX PLANO E OFFSET, FORMATO: A4 210MM X 297MM (L X A), GRAMATURA: 75G/M², COR: BRANCA, UNIDADE DE FORNECIMENTO: RESMA COM 500 FOLHAS, CARACTERÍSTICAS ADICIONAIS: ALCALINO,IMPRESSÃO FRENTE E VERSO.",RESMA,30000," R$ 22,58 "," R$ 677.400,00 ",DIRETORIA DE LOGÍSTICA,DLOG,30000.0,22.58,677400.0
6486,GÊNEROS DE ALIMENTAÇÃO +,BEBIDAS NÃO ALCOÓLICAS (EXCETO PRODUTOS LÁCTEOS),ÁGUA MINERAL,14380,"ÁGUA MINERAL , COMPOSIÇÃO: ÁGUA MINERAL NATURAL, SEM GÁS, CARACTERÍSTICA(S) ADICIONAL(IS): PRODUTO EM CONFORMIDADE COM A LEGISLAÇÃO EM VIGOR, UNIDADE DE FORNECIMENTO: EMBALAGEM RETORNÁVEL COM 20 LITROS.",EMBALAGEM,100000," R$ 7,52 "," R$ 752.000,00 ",DIRETORIA DE LOGÍSTICA,DLOG,100000.0,7.52,752000.0
6485,GÊNEROS DE ALIMENTAÇÃO +,BEBIDAS NÃO ALCOÓLICAS (EXCETO PRODUTOS LÁCTEOS),ÁGUA MINERAL,14382,"ÁGUA MINERAL , COMPOSIÇÃO: ÁGUA MINERAL NATURAL, SEM GÁS, CARACTERÍSTICA(S) ADICIONAL(IS): PRODUTO EM CONFORMIDADE COM A LEGISLAÇÃO EM VIGOR, UNIDADE DE FORNECIMENTO: EMBALAGEM COM 350ML.",EMBALAGEM,300000," R$ 0,83 "," R$ 249.000,00 ",DIRETORIA DE LOGÍSTICA,DLOG,300000.0,0.83,249000.0
9161,PEÇAS NÃO INCORPORÁVEIS A IMÓVEIS,PEÇAS NÃO INCORPORÁVEIS A IMÓVEIS,PERSIANA VERTICAL,14724,"PERSIANA VERTICAL , MATERIAL LÂMINA: PVC, TEXTURA LISA , MATERIAL TRILHO: ALUMÍNIO ANODIZADO , LARGURA LÂMINA: 89 MM, APRESENTAÇÃO: RECOLHÍVEL E ARTICULÁVEL PARA AMBOS OS LADOS, CABEÇOTE EM DURALUMÍNIO, EIXO INTERNO EM ALUMÍNIO POLIDO, SISTEMA DE ROSCA SEM FIM COM PONTA DE REGULAGEM AUTOMÁTICA, SISTEMA DE ENGRENAGEM DE REDUÇÃO, MOVIMENTO GIRATÓRIO DE 180° CONTROLADO POR CORRENTE DO TIPO BOLINHA CROMADA N° 10, CORRENTE DA BASE DA LÂMINA CROMADA, RECOLHIMENTO DAS LÂMINAS ATRAVÉS DE CORDA DE NYLON DE 2,5 MM DE DIÂMETRO , COR: A SER DEFINIDA PELO ÓRGÃO SOLICITANTE , TIPO FIXAÇÃO TRILHO: PAREDE OU TETO , CARACTERÍSTICAS ADICIONAIS: INSTALADA",M²,2361," R$ 247,83 "," R$ 585.126,63 ",DIRETORIA DE ADMINISTRAÇÃO E INFRAESTRUTURA,DAI,2361.0,247.83,585126.63
7311,MATERIAL DE EXPEDIENTE E ESCOLAR,ARTIGOS PARA ESCRITÓRIO,PASTA AZ (REGISTRADOR),14937,"PASTA AZ (REGISTRADOR) , MATERIAL CAPAS: PAPEL PRENSADO, TIPO LOMBADA: LARGA, COR: VARIADAS, TAMANHO: MEMORANDO, MATERIAL FIXADOR: METAL CROMADO, CARACTERÍSTICAS ADICIONAIS: PRESILHA E TRAVA DE FECHAMENTO",UNIDADE,30," R$ 22,28 "," R$ 668,40 ",DIRETORIA DE ATENÇÃO PRIMÁRIA,DAP,30.0,22.28,668.4
6494,GÊNEROS DE ALIMENTAÇÃO +,CONSERVAS E PRODUTOS ALIMENTÍCIOS CONCENTRADOS,AZEITONA,15269,"AZEITONA , INGREDIENTES BÁSICOS: AZEITONAS VERDES COM CAROÇO, ÁGUA E SAL, UNIDADE DE FORNECIMENTO: POTE COM 500G, CARACTERÍSTICAS ADICIONAIS: COM ANTIOXIDANTE E CONSERVADOR BENZOATO DE SÓDIO.(ID CADASTRADO NO CONTRATO Nº.013/2022)",POTE,144," R$ 14,15 "," R$ 2.037,60 ",CONTRATOS VIGENTES - SEMSA,CONTRATOS,144.0,14.15,2037.6
6495,GÊNEROS DE ALIMENTAÇÃO +,"AVES, SEUS MIÚDOS E OVOS",OVO DE GALINHA,15305,"OVO DE GALINHA , TIPO: EXTRA, CLASSE: A, COR: BRANCO, CARACTERÍSTICA(S) ADICIONAL(IS): PRODUTO PRÓPRIO PARA CONSUMO HUMANO E EM CONFORMIDADE COM A LEGISLAÇÃO EM VIGOR, UNIDADE DE FORNECIMENTO: CARTELA COM 30 UNIDADES.(ID CADASTRADO NO CONTRATO Nº.013/2022)",CARTELA,216," R$ 16,56 "," R$ 3.576,96 ",CONTRATOS VIGENTES - SEMSA,CONTRATOS,216.0,16.56,3576.96
6496,GÊNEROS DE ALIMENTAÇÃO +,"PRODUTOS HORTIFRUTIGRANJEIROS - (FRUTAS, LEGUMES E VERDURAS)",BANANA,15358,"BANANA , TIPO: PRATA, EXTRA, APRESENTAÇÃO: IN NATURA, CARACTERÍSTICAS ADICIONAIS: SEM INDÍCIOS DE GERMINAÇÃO, SEM DANOS FÍSICOS E MECÂNICOS ORIUNDOS DE MANUSEIO E TRANSPORTE, PRODUTO PRÓPRIO PARA CONSUMO HUMANO E EM CONFORMIDADE COM A LEGISLAÇÃO EM VIGOR, ACONDICIONADO EM EMBALAGEM APROPRIADA.(ID CADASTRADO NO CONTRATO Nº.013/2022)",KG,648," R$ 5,46 "," R$ 3.538,08 ",CONTRATOS VIGENTES - SEMSA,CONTRATOS,648.0,5.46,3538.08
6497,GÊNEROS DE ALIMENTAÇÃO +,"PRODUTOS HORTIFRUTIGRANJEIROS - (FRUTAS, LEGUMES E VERDURAS)",BANANA,15361,"BANANA , TIPO: PACOVÃ, EXTRA, APRESENTAÇÃO: IN NATURA, CARACTERÍSTICAS ADICIONAIS: SEM INDÍCIOS DE GERMINAÇÃO, SEM DANOS FÍSICOS E MECÂNICOS ORIUNDOS DE MANUSEIO E TRANSPORTE, PRODUTO PRÓPRIO PARA CONSUMO HUMANO E EM CONFORMIDADE COM A LEGISLAÇÃO EM VIGOR, ACONDICIONADO EM EMBALAGEM APROPRIADA.(ID CADASTRADO NO CONTRATO Nº.013/2022)",KG,648," R$ 6,98 "," R$ 4.523,04 ",CONTRATOS VIGENTES - SEMSA,CONTRATOS,648.0,6.98,4523.04
6498,GÊNEROS DE ALIMENTAÇÃO +,"PRODUTOS HORTIFRUTIGRANJEIROS - (FRUTAS, LEGUMES E VERDURAS)",LARANJA,15370,"LARANJA , TIPO: EXTRA, GRUPO: PÊRA, APRESENTAÇÃO: IN NATURA, CARACTERÍSTICAS ADICIONAIS: SEM INDÍCIOS DE GERMINAÇÃO, SEM DANOS FÍSICOS E MECÂNICOS ORIUNDOS DE MANUSEIO E TRANSPORTE, PRODUTO PRÓPRIO PARA CONSUMO HUMANO E EM CONFORMIDADE COM A LEGISLAÇÃO EM VIGOR, ACONDICIONADO EM EMBALAGEM APROPRIADA.(ID CADASTRADO NO CONTRATO Nº.013/2022)",KG,1080," R$ 4,04 "," R$ 4.363,20 ",CONTRATOS VIGENTES - SEMSA,CONTRATOS,1080.0,4.04,4363.2
6499,GÊNEROS DE ALIMENTAÇÃO +,"PRODUTOS HORTIFRUTIGRANJEIROS - (FRUTAS, LEGUMES E VERDURAS)",TOMATE,15378,"TOMATE , TIPO: EXTRA, GRUPO: COMUM, APRESENTAÇÃO: IN NATURA, CARACTERÍSTICAS ADICIONAIS: SEM INDÍCIOS DE GERMINAÇÃO, SEM DANOS FÍSICOS E MECÂNICOS ORIUNDOS DE MANUSEIO E TRANSPORTE, PRODUTO PRÓPRIO PARA CONSUMO HUMANO E EM CONFORMIDADE COM A LEGISLAÇÃO EM VIGOR, ACONDICIONADO EM EMBALAGEM APROPRIADA.(ID CADASTRADO NO CONTRATO Nº.013/2022)",KG,288," R$ 6,98 "," R$ 2.010,24 ",CONTRATOS VIGENTES - SEMSA,CONTRATOS,288.0,6.98,2010.24
6500,GÊNEROS DE ALIMENTAÇÃO +,"PRODUTOS HORTIFRUTIGRANJEIROS - (FRUTAS, LEGUMES E VERDURAS)",PIMENTÃO,15382,"PIMENTÃO , TIPO: EXTRA, GRUPO: VERDE, APRESENTAÇÃO: IN NATURA, CARACTERÍSTICAS ADICIONAIS: SEM INDÍCIOS DE GERMINAÇÃO, SEM DANOS FÍSICOS E MECÂNICOS ORIUNDOS DE MANUSEIO E TRANSPORTE, PRODUTO PRÓPRIO PARA CONSUMO HUMANO E EM CONFORMIDADE COM A LEGISLAÇÃO EM VIGOR, ACONDICIONADO EM EMBALAGEM APROPRIADA.(ID CADASTRADO NO CONTRATO Nº.013/2022)",KG,180," R$ 7,05 "," R$ 1.269,00 ",CONTRATOS VIGENTES - SEMSA,CONTRATOS,180.0,7.05,1269.0
6501,GÊNEROS DE ALIMENTAÇÃO +,"PRODUTOS HORTIFRUTIGRANJEIROS - (FRUTAS, LEGUMES E VERDURAS)",PEPINO,15385,"PEPINO , TIPO: EXTRA, GRUPO: COMUM, CARACTERÍSTICAS ADICIONAIS: SEM INDÍCIOS DE GERMINAÇÃO, SEM DANOS FÍSICOS E MECÂNICOS ORIUNDOS DE MANUSEIO E TRANSPORTE, PRODUTO PRÓPRIO PARA CONSUMO HUMANO E EM CONFORMIDADE COM A LEGISLAÇÃO EM VIGOR, ACONDICIONADO EM EMBALAGEM APROPRIADA.(ID CADASTRADO NO CONTRATO Nº.013/2022)",KG,180," R$ 3,31 "," R$ 595,80 ",CONTRATOS VIGENTES - SEMSA,CONTRATOS,180.0,3.31,595.8
6502,GÊNEROS DE ALIMENTAÇÃO +,"PRODUTOS HORTIFRUTIGRANJEIROS - (FRUTAS, LEGUMES E VERDURAS)",BETERRABA,15391,"BETERRABA , TIPO: EXTRA, APRESENTAÇÃO: IN NATURA, CARACTERÍSTICAS ADICIONAIS: SEM INDÍCIOS DE GERMINAÇÃO, SEM DANOS FÍSICOS E MECÂNICOS ORIUNDOS DE MANUSEIO E TRANSPORTE, PRODUTO PRÓPRIO PARA CONSUMO HUMANO E EM CONFORMIDADE COM A LEGISLAÇÃO EM VIGOR, ACONDICIONADO EM EMBALAGEM APROPRIADA.(ID CADASTRADO NO CONTRATO Nº.013/2022)",KG,180," R$ 5,72 "," R$ 1.029,60 ",CONTRATOS VIGENTES - SEMSA,CONTRATOS,180.0,5.72,1029.6
